label,confidence,xmin,ymin,xmax,ymax
0,0.32817962765693665,564,186,583,205
0,0.3280324637889862,310,4,328,21
0,0.32755354046821594,118,50,137,68
0,0.32705509662628174,551,46,569,63
0,0.32372400164604187,20,50,40,70
0,0.3220328390598297,539,142,557,160
0,0.32138189673423767,301,4,320,22
0,0.32050248980522156,20,67,39,86
0,0.31973621249198914,276,3,295,21
0,0.3195946514606476,326,11,345,30
0,0.31707045435905457,650,161,668,179
0,0.3169735074043274,3,77,21,95
0,0.31599998474121094,294,5,313,22
0,0.31516438722610474,318,12,337,30
0,0.3151610493659973,560,61,578,80
0,0.3140760064125061,20,35,40,55
0,0.31322401762008667,334,12,353,30
0,0.31269508600234985,645,11,663,29
0,0.3110687732696533,284,5,303,22
0,0.309503972530365,25,30,45,48
0,0.30808958411216736,19,3,39,22
0,0.3079352378845215,418,267,437,286
0,0.30649906396865845,525,164,544,184
0,0.3054139316082001,641,153,659,172
0,0.30476152896881104,6,16,24,35
0,0.30438968539237976,344,4,362,21
0,0.30375829339027405,302,11,320,29
0,0.3036364018917084,576,11,595,29
0,0.303615927696228,310,12,328,30
0,0.30257272720336914,549,21,567,40
0,0.30206921696662903,27,68,46,86
0,0.3018946051597595,255,20,272,36
0,0.3005904257297516,403,268,421,286
0,0.29934439063072205,652,119,670,137
0,0.29906773567199707,624,25,643,44
0,0.2980740964412689,507,73,526,92
0,0.2978244721889496,35,34,54,53
0,0.29669684171676636,261,3,279,20
0,0.2952499985694885,537,154,556,172
0,0.2929980456829071,641,119,659,138
0,0.2926333546638489,659,72,677,90
0,0.29094836115837097,581,169,602,189
0,0.28973719477653503,652,126,670,144
0,0.28890058398246765,624,122,640,139
0,0.2888038456439972,10,78,29,97
0,0.2887396514415741,26,2,46,21
0,0.28672540187835693,647,90,666,109
0,0.2865116596221924,631,153,651,172
0,0.28381621837615967,319,20,338,39
0,0.2835502624511719,666,12,684,30
0,0.28348782658576965,225,294,244,314
0,0.28329232335090637,660,11,678,29
0,0.28125011920928955,523,275,543,295
0,0.27978792786598206,598,163,620,185
0,0.27920636534690857,406,283,425,302
0,0.2791183590888977,25,12,44,31
0,0.2774783670902252,631,143,650,161
0,0.27746331691741943,21,78,40,97
0,0.27717992663383484,53,177,73,197
0,0.2770644426345825,559,6,578,24
0,0.2756158411502838,27,79,46,98
0,0.2756141126155853,343,12,362,30
0,0.2755301594734192,674,12,690,30
0,0.27530649304389954,659,170,677,188
0,0.27506762742996216,641,143,659,161
0,0.2746497392654419,664,21,682,40
0,0.2739517390727997,675,97,690,114
0,0.2731821537017822,632,160,652,180
0,0.2730100452899933,651,68,670,87
0,0.27247354388237,652,110,671,128
0,0.27238908410072327,557,140,575,157
0,0.27227410674095154,577,34,595,54
0,0.27216029167175293,653,137,671,155
0,0.27200189232826233,626,3,644,21
0,0.27178657054901123,114,31,134,50
0,0.2717234194278717,309,20,328,38
0,0.27171504497528076,408,295,427,313
0,0.27115821838378906,658,160,677,178
0,0.27104470133781433,253,4,270,21
0,0.27096882462501526,596,179,619,201
0,0.27094098925590515,652,152,670,171
0,0.26983487606048584,644,19,662,37
0,0.2693351209163666,576,3,594,21
0,0.26918476819992065,362,268,382,287
0,0.2688913643360138,485,111,503,129
0,0.26876890659332275,58,169,78,189
0,0.2683233916759491,302,19,320,38
0,0.26817724108695984,350,3,368,21
0,0.26672810316085815,155,163,173,181
0,0.2664858102798462,335,20,354,38
0,0.2655487060546875,590,167,611,188
0,0.26545190811157227,674,18,690,36
0,0.26248306035995483,485,101,503,119
0,0.26169437170028687,651,61,670,81
0,0.26156851649284363,161,184,180,202
0,0.2614048421382904,665,28,684,46
0,0.2613452076911926,631,24,650,43
0,0.2607477605342865,652,77,670,96
0,0.26065200567245483,0,33,16,53
0,0.2604382038116455,633,120,650,138
0,0.2604053020477295,339,135,359,153
0,0.26034867763519287,652,144,671,162
0,0.2601287364959717,294,20,312,38
0,0.25982367992401123,492,111,511,129
0,0.25958800315856934,660,19,678,37
0,0.25905948877334595,162,177,180,196
0,0.25829917192459106,276,10,295,29
0,0.2581701874732971,272,42,290,58
0,0.2577938735485077,238,306,256,324
0,0.256815105676651,658,61,678,81
0,0.25632792711257935,45,30,64,49
0,0.25603389739990234,591,178,612,199
0,0.2551816701889038,69,170,88,190
0,0.25500696897506714,641,110,658,128
0,0.2545243501663208,493,101,511,119
0,0.254485160112381,664,67,683,86
0,0.253930926322937,623,37,642,56
0,0.2537915110588074,675,67,690,86
0,0.2533204257488251,653,91,672,110
0,0.25301724672317505,269,11,288,29
0,0.25270166993141174,541,27,559,45
0,0.2517823874950409,549,8,568,27
0,0.25168246030807495,544,138,562,156
0,0.25161927938461304,243,5,261,22
0,0.25141292810440063,484,120,502,138
0,0.2510487139225006,466,17,484,34
0,0.25078141689300537,657,152,677,170
0,0.2504030466079712,37,1,56,19
0,0.24951978027820587,296,51,313,67
0,0.24939514696598053,350,12,369,30
0,0.24916799366474152,45,184,65,203
0,0.24895073473453522,676,77,690,95
0,0.2489285171031952,36,18,55,36
0,0.24878087639808655,660,177,678,195
0,0.2487247735261917,33,71,52,92
0,0.24865777790546417,542,35,560,52
0,0.2486020028591156,52,183,72,202
0,0.24767489731311798,673,170,690,188
0,0.2476726919412613,324,26,343,44
0,0.24679775536060333,667,160,685,178
0,0.2467929571866989,17,62,37,82
0,0.24638459086418152,600,150,620,171
0,0.2461179941892624,59,69,78,88
0,0.2458198517560959,667,170,684,188
0,0.2452976405620575,45,178,64,197
0,0.2451947033405304,406,79,424,98
0,0.24498216807842255,393,101,411,118
0,0.2444494366645813,285,20,304,38
0,0.24435487389564514,151,185,170,203
0,0.24428825080394745,675,177,690,194
0,0.24406683444976807,669,72,687,91
0,0.24381084740161896,642,69,659,87
0,0.24346262216567993,656,105,674,123
0,0.24320298433303833,641,138,659,155
0,0.24269400537014008,245,62,262,79
0,0.24238653481006622,666,34,685,53
